District Number,District Name,County_1,County_2,County_3,County_4,County_5,County_6,County_7,County_8,County_9,County_10
92902,Kilgore ISD,GREGG,RUSK,,,,,,,,
92903,Longview ISD,GREGG,HARRISON,RUSK,UPSHUR,,,,,,
92904,Pine Tree ISD,GREGG,,,,,,,,,
92906,Sabine ISD,GREGG,SMITH,,,,,,,,
92907,Spring Hill ISD,GREGG,,,,,,,,,
92908,White Oak ISD,GREGG,UPSHUR,,,,,,,,
93901,Anderson-Shiro Cons ISD,BRAZOS,GRIMES,MONTGOMERY,WALKER,,,,,,
93903,Iola ISD,BRAZOS,GRIMES,MADISON,,,,,,,
93904,Navasota ISD,BRAZOS,BURLESON,GRIMES,MONTGOMERY,WALLER,WASHINGTON,,,,
93905,Richards ISD,GRIMES,MONTGOMERY,WALKER,,,,,,,
94901,Seguin ISD,CALDWELL,GONZALES,GUADALUPE,WILSON,,,,,,
94902,Schertz-Cibolo-Universal City ISD,BEXAR,COMAL,GUADALUPE,,,,,,,
94903,Navarro ISD,COMAL,GUADALUPE,HAYS,,,,,,,
94904,Marion ISD,BEXAR,GUADALUPE,,,,,,,,
95901,Abernathy ISD,HALE,HOCKLEY,LAMB,LUBBOCK,,,,,,
95902,Cotton Center ISD,HALE,LAMB,,,,,,,,
95903,Hale Center ISD,HALE,,,,,,,,,
95904,Petersburg ISD,CROSBY,FLOYD,HALE,LUBBOCK,,,,,,
95905,Plainview ISD,CASTRO,FLOYD,HALE,SWISHER,,,,,,
96904,Memphis ISD,BRISCOE,CHILDRESS,COLLINGSWORTH,COTTLE,DONLEY,HALL,MOTLEY,,,
96905,Turkey-Quitaque ISD,BRISCOE,FLOYD,HALL,MOTLEY,,,,,,
97902,Hamilton ISD,BOSQUE,COMANCHE,HAMILTON,MILLS,,,,,,
97903,Hico ISD,BOSQUE,COMANCHE,ERATH,HAMILTON,,,,,,
98901,Gruver ISD,HANSFORD,SHERMAN,,,,,,,,
98903,Pringle-Morse Cons ISD,HANSFORD,HUTCHINSON,MOORE,ROBERTS,SHERMAN,,,,,
98904,Spearman ISD,HANSFORD,HUTCHINSON,OCHILTREE,ROBERTS,,,,,,
99902,Chillicothe ISD,FOARD,HARDEMAN,WILBARGER,,,,,,,
99903,Quanah ISD,CHILDRESS,COTTLE,FOARD,HARDEMAN,,,,,,
100903,Kountze ISD,HARDIN,POLK,TYLER,,,,,,,
100904,Silsbee ISD,HARDIN,JASPER,TYLER,,,,,,,
100905,Hardin-Jefferson ISD,CHAMBERS,HARDIN,JEFFERSON,LIBERTY,,,,,,
100907,Lumberton ISD,HARDIN,JASPER,JEFFERSON,ORANGE,,,,,,
100908,West Hardin County Cons ISD,HARDIN,LIBERTY,POLK,,,,,,,
101902,Aldine ISD,HARRIS,MONTGOMERY,,,,,,,,
101903,Alief ISD,FORT BEND,HARRIS,,,,,,,,
101905,Channelview ISD,HARRIS,,,,,,,,,
101906,Crosby ISD,CHAMBERS,HARRIS,LIBERTY,,,,,,,
101907,Cypress-Fairbanks ISD,HARRIS,,,,,,,,,
101908,Deer Park ISD,HARRIS,,,,,,,,,
101910,Galena Park ISD,HARRIS,,,,,,,,,
101911,Goose Creek Consolidated ISD,CHAMBERS,HARRIS,,,,,,,,
101912,Houston ISD,BRAZORIA,FORT BEND,HARRIS,,,,,,,
101913,Humble ISD,HARRIS,MONTGOMERY,,,,,,,,
101914,Katy ISD,FORT BEND,HARRIS,WALLER,,,,,,,
101915,Klein ISD,HARRIS,MONTGOMERY,,,,,,,,
101916,La Porte ISD,CHAMBERS,HARRIS,,,,,,,,
101917,Pasadena ISD,BRAZORIA,HARRIS,,,,,,,,
101919,Spring ISD,HARRIS,MONTGOMERY,,,,,,,,
101920,Spring Branch ISD,HARRIS,,,,,,,,,
101921,Tomball ISD,HARRIS,MONTGOMERY,,,,,,,,
101924,Sheldon ISD,HARRIS,,,,,,,,,
101925,Huffman ISD,HARRIS,LIBERTY,MONTGOMERY,,,,,,,
102901,Karnack ISD,HARRISON,MARION,,,,,,,,
102902,Marshall ISD,HARRISON,MARION,PANOLA,RUSK,,,,,,
102903,Waskom ISD,HARRISON,PANOLA,,,,,,,,
102904,Hallsville ISD,GREGG,HARRISON,RUSK,,,,,,,
102905,Harleton ISD,HARRISON,MARION,UPSHUR,,,,,,,
102906,Elysian Fields ISD,HARRISON,PANOLA,,,,,,,,
103901,Channing ISD,DALLAM,HARTLEY,MOORE,OLDHAM,POTTER,,,,,
103902,Hartley ISD,DALLAM,HARTLEY,MOORE,SHERMAN,,,,,,
104901,Haskell Cons ISD,HASKELL,KING,KNOX,STONEWALL,THROCKMORTON,,,,,
104903,Rule ISD,HASKELL,JONES,STONEWALL,,,,,,,
104907,Paint Creek ISD,HASKELL,JONES,SHACKELFORD,THROCKMORTON,,,,,,
105902,San Marcos Cons ISD,CALDWELL,COMAL,GUADALUPE,HAYS,,,,,,
105904,Dripping Springs ISD,BLANCO,HAYS,TRAVIS,,,,,,,
105905,Wimberley ISD,COMAL,HAYS,,,,,,,,
105906,Hays Cons ISD,CALDWELL,HAYS,TRAVIS,,,,,,,
106901,Canadian ISD,HEMPHILL,LIPSCOMB,ROBERTS,,,,,,,
107901,Athens ISD,ANDERSON,HENDERSON,VAN ZANDT,,,,,,,
107902,Brownsboro ISD,CHEROKEE,HENDERSON,SMITH,VAN ZANDT,,,,,,
107904,Cross Roads ISD,ANDERSON,FREESTONE,HENDERSON,NAVARRO,,,,,,
107905,Eustace ISD,HENDERSON,KAUFMAN,VAN ZANDT,,,,,,,
107906,Malakoff ISD,HENDERSON,NAVARRO,,,,,,,,
107907,Trinidad ISD,HENDERSON,NAVARRO,,,,,,,,
107908,Murchison ISD,HENDERSON,,,,,,,,,
107910,Lapoynor ISD,ANDERSON,HENDERSON,,,,,,,,
108902,Donna ISD,HIDALGO,,,,,,,,,
108903,Edcouch-Elsa ISD,HIDALGO,,,,,,,,,
108904,Edinburg Cons ISD,BROOKS,HIDALGO,KENEDY,STARR,WILLACY,,,,,
108905,Hidalgo ISD,HIDALGO,,,,,,,,,
108906,McAllen ISD,HIDALGO,,,,,,,,,
108907,Mercedes ISD,CAMERON,HIDALGO,,,,,,,,
108908,Mission Cons ISD,HIDALGO,,,,,,,,,
108909,Pharr-San Juan-Alamo ISD,HIDALGO,,,,,,,,,
108910,Progreso ISD,HIDALGO,,,,,,,,,
108911,Sharyland ISD,HIDALGO,,,,,,,,,
108912,La Joya ISD,HIDALGO,STARR,,,,,,,,
108913,Weslaco ISD,HIDALGO,,,,,,,,,
108914,La Villa ISD,CAMERON,HIDALGO,WILLACY,,,,,,,
108915,Monte Alto ISD,HIDALGO,WILLACY,,,,,,,,
108916,Valley View ISD (Hidalgo),HIDALGO,,,,,,,,,
109901,Abbott ISD,HILL,MCLENNAN,,,,,,,,
109902,Bynum ISD,ELLIS,HILL,NAVARRO,,,,,,,
109903,Covington ISD,HILL,JOHNSON,,,,,,,,
109904,Hillsboro ISD,HILL,,,,,,,,,
109905,Hubbard ISD (Hill),HILL,LIMESTONE,NAVARRO,,,,,,,
109907,Itasca ISD,ELLIS,HILL,JOHNSON,,,,,,,
109908,Malone ISD,HILL,NAVARRO,,,,,,,,
109910,Mount Calm ISD,HILL,LIMESTONE,MCLENNAN,,,,,,,
109911,Whitney ISD,BOSQUE,HILL,,,,,,,,
109912,Aquilla ISD,BOSQUE,HILL,MCLENNAN,,,,,,,
109913,Blum ISD,BOSQUE,HILL,JOHNSON,,,,,,,
109914,Penelope ISD,HILL,MCLENNAN,,,,,,,,
110901,Anton ISD,HALE,HOCKLEY,LAMB,LUBBOCK,,,,,,
110902,Levelland ISD,COCHRAN,HOCKLEY,LAMB,TERRY,,,,,,
110905,Ropes ISD,HOCKLEY,LUBBOCK,LYNN,TERRY,,,,,,
110906,Smyer ISD,HOCKLEY,LUBBOCK,,,,,,,,
110907,Sundown ISD,COCHRAN,HOCKLEY,TERRY,YOAKUM,,,,,,
110908,Whitharral ISD,HOCKLEY,LAMB,,,,,,,,
111901,Granbury ISD,HOOD,JOHNSON,PARKER,SOMERVELL,TARRANT,,,,,
111902,Lipan ISD,ERATH,HOOD,PALO PINTO,PARKER,,,,,,
111903,Tolar ISD,ERATH,HOOD,SOMERVELL,,,,,,,
112901,Sulphur Springs ISD,HOPKINS,RAINS,WOOD,,,,,,,
112905,Cumby ISD,DELTA,HOPKINS,HUNT,,,,,,,
112906,North Hopkins ISD,DELTA,HOPKINS,,,,,,,,
112907,Miller Grove ISD,HOPKINS,HUNT,RAINS,,,,,,,
112908,Como-Pickton Cons ISD,FRANKLIN,HOPKINS,WOOD,,,,,,,
112909,Saltillo ISD,FRANKLIN,HOPKINS,,,,,,,,
112910,Sulphur Bluff ISD,DELTA,FRANKLIN,HOPKINS,RED RIVER,,,,,,
113901,Crockett ISD,HOUSTON,LEON,,,,,,,,
113902,Grapeland ISD,ANDERSON,CHEROKEE,HOUSTON,LEON,,,,,,
113903,Lovelady ISD,HOUSTON,LEON,MADISON,TRINITY,WALKER,,,,,
113905,Latexo ISD,HOUSTON,,,,,,,,,
113906,Kennard ISD,ANGELINA,CHEROKEE,HOUSTON,TRINITY,,,,,,
114901,Big Spring ISD,BORDEN,HOWARD,MARTIN,,,,,,,
114902,Coahoma ISD,BORDEN,HOWARD,MITCHELL,,,,,,,
114904,Forsan ISD,GLASSCOCK,HOWARD,MITCHELL,STERLING,,,,,,
115901,Fort Hancock ISD,EL PASO,HUDSPETH,,,,,,,,
115902,Sierra Blanca ISD,HUDSPETH,,,,,,,,,
115903,Dell City ISD,CULBERSON,HUDSPETH,,,,,,,,
116901,Caddo Mills ISD,COLLIN,HUNT,,,,,,,,
116902,Celeste ISD,COLLIN,FANNIN,HUNT,,,,,,,
116903,Commerce ISD,DELTA,HOPKINS,HUNT,,,,,,,
116905,Greenville ISD,HUNT,,,,,,,,,
116906,Lone Oak ISD,HOPKINS,HUNT,RAINS,,,,,,,
116908,Quinlan ISD,HUNT,KAUFMAN,RAINS,ROCKWALL,VAN ZANDT,,,,,
116909,Wolfe City ISD,FANNIN,HUNT,,,,,,,,
116910,Campbell ISD,HUNT,,,,,,,,,
116915,Bland ISD,COLLIN,HUNT,,,,,,,,
116916,Boles ISD,HUNT,,,,,,,,,
117901,Borger ISD,CARSON,HUTCHINSON,,,,,,,,
117903,Sanford-Fritch ISD,CARSON,HUTCHINSON,MOORE,,,,,,,
117904,Plemons-Stinnett-Phillips Cons ISD,HUTCHINSON,MOORE,ROBERTS,,,,,,,
117907,Spring Creek ISD,CARSON,HUTCHINSON,ROBERTS,,,,,,,
118902,Irion County ISD,CROCKETT,IRION,REAGAN,SCHLEICHER,TOM GREEN,,,,,
119901,Bryson ISD,JACK,PALO PINTO,YOUNG,,,,,,,
119902,Jacksboro ISD,ARCHER,CLAY,JACK,WISE,YOUNG,,,,,
119903,Perrin-Whitt Cons ISD,JACK,PALO PINTO,PARKER,WISE,,,,,,
120901,Edna ISD,JACKSON,LAVACA,VICTORIA,WHARTON,,,,,,
120902,Ganado ISD,JACKSON,MATAGORDA,WHARTON,,,,,,,
120905,Industrial ISD,CALHOUN,JACKSON,MATAGORDA,VICTORIA,,,,,,
121902,Brookeland ISD,JASPER,NEWTON,SABINE,SAN AUGUSTINE,,,,,,
121903,Buna ISD,HARDIN,JASPER,NEWTON,ORANGE,TYLER,,,,,
121904,Jasper ISD,ANGELINA,JASPER,NEWTON,SAN AUGUSTINE,TYLER,,,,,
121905,Kirbyville Cons ISD,JASPER,NEWTON,TYLER,,,,,,,
121906,Evadale ISD,HARDIN,JASPER,,,,,,,,
122901,Fort Davis ISD,BREWSTER,CULBERSON,JEFF DAVIS,PECOS,PRESIDIO,REEVES,,,,
122902,Valentine ISD,CULBERSON,HUDSPETH,JEFF DAVIS,PRESIDIO,,,,,,
123905,Nederland ISD,JEFFERSON,ORANGE,,,,,,,,
123907,Port Arthur ISD,JEFFERSON,ORANGE,,,,,,,,
123908,Port Neches-Groves ISD,JEFFERSON,ORANGE,,,,,,,,
123910,Beaumont ISD,HARDIN,JEFFERSON,ORANGE,,,,,,,
123913,Sabine Pass ISD,CHAMBERS,JEFFERSON,,,,,,,,
123914,Hamshire-Fannett ISD,CHAMBERS,JEFFERSON,,,,,,,,
124901,Jim Hogg County ISD,BROOKS,DUVAL,JIM HOGG,STARR,WEBB,ZAPATA,,,,
125901,Alice ISD,DUVAL,JIM WELLS,KLEBERG,LIVE OAK,NUECES,,,,,
125902,Ben Bolt-Palito Blanco ISD,DUVAL,JIM WELLS,KLEBERG,,,,,,,
125903,Orange Grove ISD,JIM WELLS,LIVE OAK,NUECES,SAN PATRICIO,,,,,,
125905,Premont ISD,DUVAL,JIM WELLS,KLEBERG,,,,,,,
125906,La Gloria ISD,BROOKS,DUVAL,JIM WELLS,KLEBERG,,,,,,
126901,Alvarado ISD,JOHNSON,,,,,,,,,
126902,Burleson ISD,JOHNSON,TARRANT,,,,,,,,
126903,Cleburne ISD,BOSQUE,HOOD,JOHNSON,SOMERVELL,,,,,,
126904,Grandview ISD,ELLIS,HILL,JOHNSON,,,,,,,
126905,Joshua ISD,JOHNSON,TARRANT,,,,,,,,
126906,Keene ISD,JOHNSON,,,,,,,,,
126907,Rio Vista ISD,BOSQUE,HILL,JOHNSON,,,,,,,
126908,Venus ISD,ELLIS,JOHNSON,,,,,,,,
126911,Godley ISD,HOOD,JOHNSON,PARKER,TARRANT,,,,,,
127901,Anson ISD,JONES,,,,,,,,,
127903,Hamlin ISD,FISHER,HASKELL,JONES,STONEWALL,,,,,,
127904,Hawley ISD,JONES,TAYLOR,,,,,,,,
127905,Lueders-Avoca ISD,HASKELL,JONES,SHACKELFORD,THROCKMORTON,,,,,,
127906,Stamford ISD,HASKELL,JONES,,,,,,,,
128901,Karnes City ISD,ATASCOSA,DE WITT,GONZALES,KARNES,LIVE OAK,WILSON,,,,
128902,Kenedy ISD,BEE,KARNES,LIVE OAK,,,,,,,
128903,Runge ISD,DE WITT,GOLIAD,KARNES,,,,,,,
128904,Falls City ISD,ATASCOSA,KARNES,WILSON,,,,,,,
129901,Crandall ISD,DALLAS,ELLIS,KAUFMAN,,,,,,,
129902,Forney ISD,DALLAS,KAUFMAN,ROCKWALL,,,,,,,
129903,Kaufman ISD,KAUFMAN,VAN ZANDT,,,,,,,,
129904,Kemp ISD,ELLIS,HENDERSON,KAUFMAN,NAVARRO,,,,,,
129905,Mabank ISD,HENDERSON,KAUFMAN,VAN ZANDT,,,,,,,
129906,Terrell ISD,HUNT,KAUFMAN,ROCKWALL,,,,,,,
129910,Scurry-Rosser ISD,ELLIS,KAUFMAN,,,,,,,,
130901,Boerne ISD,BANDERA,BEXAR,COMAL,KENDALL,KERR,MEDINA,,,,
130902,Comfort ISD,BANDERA,GILLESPIE,KENDALL,KERR,,,,,,
131001,Kenedy County-Wide CSD,BROOKS,HIDALGO,KENEDY,KLEBERG,WILLACY,,,,,
132902,Jayton-Girard ISD,DICKENS,FISHER,GARZA,KENT,KING,SCURRY,STONEWALL,,,
133901,Center Point ISD,BANDERA,KERR,,,,,,,,
133902,Hunt ISD,BANDERA,KERR,,,,,,,,
133903,Kerrville ISD,BANDERA,KERR,,,,,,,,
133904,Ingram ISD,GILLESPIE,KERR,KIMBLE,,,,,,,
133905,Divide ISD,BANDERA,EDWARDS,KERR,KIMBLE,REAL,,,,,
134901,Junction ISD,EDWARDS,KERR,KIMBLE,MASON,MENARD,SCHLEICHER,SUTTON,,,
135001,Guthrie CSD,COTTLE,DICKENS,HASKELL,KENT,KING,KNOX,MOTLEY,STONEWALL,,
136901,Brackett ISD,EDWARDS,KINNEY,MAVERICK,UVALDE,VAL VERDE,ZAVALA,,,,
137901,Kingsville ISD,JIM WELLS,KLEBERG,NUECES,,,,,,,
137902,Ricardo ISD,KLEBERG,,,,,,,,,
137903,Riviera ISD,KENEDY,KLEBERG,NUECES,,,,,,,
137904,Santa Gertrudis ISD,BROOKS,JIM WELLS,KENEDY,KLEBERG,,,,,,
138902,Knox City-O'Brien Cons ISD,HASKELL,KING,KNOX,STONEWALL,,,,,,
138903,Munday Cons ISD,BAYLOR,HASKELL,KNOX,THROCKMORTON,,,,,,
138904,Benjamin ISD,BAYLOR,FOARD,KING,KNOX,,,,,,
139905,Chisum ISD,DELTA,FANNIN,LAMAR,,,,,,,
139908,Roxton ISD,DELTA,FANNIN,LAMAR,,,,,,,
139909,Paris ISD,LAMAR,,,,,,,,,
139911,North Lamar ISD,FANNIN,LAMAR,RED RIVER,,,,,,,
139912,Prairiland ISD,DELTA,FRANKLIN,LAMAR,RED RIVER,,,,,,
140901,Amherst ISD,LAMB,,,,,,,,,
140904,Littlefield ISD,BAILEY,HOCKLEY,LAMB,,,,,,,
140905,Olton ISD,CASTRO,HALE,LAMB,,,,,,,
140907,Springlake-Earth ISD,CASTRO,LAMB,PARMER,,,,,,,
140908,Sudan ISD,BAILEY,COCHRAN,HOCKLEY,LAMB,,,,,,
141901,Lampasas ISD,BELL,BURNET,CORYELL,LAMPASAS,SAN SABA,,,,,
141902,Lometa ISD,LAMPASAS,MILLS,SAN SABA,,,,,,,
142901,Cotulla ISD,ATASCOSA,DIMMIT,DUVAL,FRIO,LA SALLE,MCMULLEN,WEBB,,,
143901,Hallettsville ISD,COLORADO,FAYETTE,JACKSON,LAVACA,WHARTON,,,,,
143902,Moulton ISD,FAYETTE,GONZALES,LAVACA,,,,,,,
143903,Shiner ISD,DE WITT,GONZALES,LAVACA,,,,,,,
143904,Vysehrad ISD,LAVACA,,,,,,,,,
143905,Sweet Home ISD,LAVACA,,,,,,,,,
143906,Ezzell ISD,DE WITT,JACKSON,LAVACA,VICTORIA,,,,,,
144901,Giddings ISD,BASTROP,BURLESON,FAYETTE,LEE,WASHINGTON,,,,,
144902,Lexington ISD,BASTROP,BURLESON,LEE,MILAM,WILLIAMSON,,,,,
144903,Dime Box ISD,BURLESON,LEE,,,,,,,,
145901,Buffalo ISD,FREESTONE,LEON,,,,,,,,
145902,Centerville ISD (Leon),HOUSTON,LEON,MADISON,,,,,,,
145906,Normangee ISD,BRAZOS,LEON,MADISON,ROBERTSON,,,,,,
145907,Oakwood ISD,ANDERSON,FREESTONE,HOUSTON,LEON,,,,,,
145911,Leon ISD,FREESTONE,LEON,LIMESTONE,ROBERTSON,,,,,,
146901,Cleveland ISD,HARRIS,LIBERTY,MONTGOMERY,SAN JACINTO,,,,,,
146902,Dayton ISD,CHAMBERS,HARRIS,LIBERTY,,,,,,,
146903,Devers ISD,CHAMBERS,HARDIN,JEFFERSON,LIBERTY,,,,,,
146904,Hardin ISD,HARDIN,LIBERTY,POLK,SAN JACINTO,,,,,,
146905,Hull-Daisetta ISD,HARDIN,LIBERTY,,,,,,,,
146906,Liberty ISD,CHAMBERS,LIBERTY,,,,,,,,
146907,Tarkington ISD,LIBERTY,SAN JACINTO,,,,,,,,
147901,Coolidge ISD,HILL,LIMESTONE,NAVARRO,,,,,,,
147902,Groesbeck ISD,FALLS,FREESTONE,LEON,LIMESTONE,ROBERTSON,,,,,
147903,Mexia ISD,FREESTONE,LIMESTONE,NAVARRO,,,,,,,
148901,Booker ISD,HEMPHILL,LIPSCOMB,OCHILTREE,ROBERTS,,,,,,
148902,Follett ISD,LIPSCOMB,,,,,,,,,
148903,Higgins ISD,HEMPHILL,LIPSCOMB,,,,,,,,
148905,Darrouzett ISD,LIPSCOMB,,,,,,,,,
149901,George West ISD,BEE,DUVAL,JIM WELLS,LIVE OAK,MCMULLEN,SAN PATRICIO,,,,
149902,Three Rivers ISD,ATASCOSA,BEE,KARNES,LIVE OAK,MCMULLEN,,,,,
150901,Llano ISD,BLANCO,BURNET,GILLESPIE,LLANO,MASON,SAN SABA,,,,
152901,Lubbock ISD,LUBBOCK,,,,,,,,,
152902,New Deal ISD,HALE,LUBBOCK,,,,,,,,
152903,Slaton ISD,CROSBY,LUBBOCK,LYNN,,,,,,,
152906,Lubbock-Cooper ISD,LUBBOCK,LYNN,,,,,,,,
152907,Frenship ISD,HOCKLEY,LUBBOCK,LYNN,TERRY,,,,,,
152908,Roosevelt ISD,CROSBY,LUBBOCK,,,,,,,,
152909,Shallowater ISD,HOCKLEY,LUBBOCK,,,,,,,,
152910,Idalou ISD,HALE,LUBBOCK,,,,,,,,
153903,O'Donnell ISD,BORDEN,DAWSON,GARZA,LYNN,TERRY,,,,,
153904,Tahoka ISD,GARZA,LYNN,TERRY,,,,,,,
153905,New Home ISD,HOCKLEY,LUBBOCK,LYNN,TERRY,,,,,,
153907,Wilson ISD,LUBBOCK,LYNN,,,,,,,,
154901,Madisonville Cons ISD,GRIMES,HOUSTON,LEON,MADISON,WALKER,,,,,
154903,North Zulch ISD,BRAZOS,GRIMES,MADISON,,,,,,,
155901,Jefferson ISD,CASS,HARRISON,MARION,MORRIS,UPSHUR,,,,,
156902,Stanton ISD,ANDREWS,GLASSCOCK,HOWARD,MARTIN,MIDLAND,,,,,
156905,Grady ISD,ANDREWS,HOWARD,MARTIN,,,,,,,
157901,Mason ISD,GILLESPIE,KIMBLE,LLANO,MASON,MCCULLOCH,MENARD,SAN SABA,,,
158901,Bay City ISD,MATAGORDA,WHARTON,,,,,,,,
158902,Tidehaven ISD,JACKSON,MATAGORDA,WHARTON,,,,,,,
158904,Matagorda ISD,MATAGORDA,,,,,,,,,
158905,Palacios ISD,CALHOUN,JACKSON,MATAGORDA,,,,,,,
158906,Van Vleck ISD,BRAZORIA,MATAGORDA,,,,,,,,
159901,Eagle Pass ISD,DIMMIT,KINNEY,MAVERICK,UVALDE,WEBB,ZAVALA,,,,
160901,Brady ISD,COLEMAN,CONCHO,MASON,MCCULLOCH,MENARD,SAN SABA,,,,
160904,Rochelle ISD,BROWN,COLEMAN,MCCULLOCH,SAN SABA,,,,,,
160905,Lohn ISD,COLEMAN,MCCULLOCH,,,,,,,,
161901,Crawford ISD,BOSQUE,CORYELL,MCLENNAN,,,,,,,
161903,Midway ISD (McLennan),MCLENNAN,,,,,,,,,
161906,La Vega ISD,MCLENNAN,,,,,,,,,
161907,Lorena ISD,FALLS,MCLENNAN,,,,,,,,
161908,Mart ISD,FALLS,LIMESTONE,MCLENNAN,,,,,,,
161909,McGregor ISD,CORYELL,MCLENNAN,,,,,,,,
161910,Moody ISD,BELL,CORYELL,MCLENNAN,,,,,,,
161912,Riesel ISD,FALLS,MCLENNAN,,,,,,,,
161914,Waco ISD,MCLENNAN,,,,,,,,,
161916,West ISD,HILL,MCLENNAN,,,,,,,,
161918,Axtell ISD,HILL,LIMESTONE,MCLENNAN,,,,,,,
161919,Bruceville-Eddy ISD,BELL,FALLS,MCLENNAN,,,,,,,
161920,China Spring ISD,BOSQUE,HILL,MCLENNAN,,,,,,,
161921,Connally ISD,MCLENNAN,,,,,,,,,
161922,Robinson ISD,FALLS,MCLENNAN,,,,,,,,
161923,Bosqueville ISD,MCLENNAN,,,,,,,,,
161924,Hallsburg ISD,MCLENNAN,,,,,,,,,
161925,Gholson ISD,HILL,MCLENNAN,,,,,,,,
162904,McMullen County ISD,ATASCOSA,DUVAL,LA SALLE,LIVE OAK,MCMULLEN,WEBB,,,,
163901,Devine ISD,ATASCOSA,FRIO,MEDINA,,,,,,,
163902,D'Hanis ISD,BANDERA,FRIO,MEDINA,UVALDE,ZAVALA,,,,,
163903,Natalia ISD,ATASCOSA,MEDINA,,,,,,,,
163904,Hondo ISD,BANDERA,FRIO,MEDINA,,,,,,,
163908,Medina Valley ISD,BANDERA,BEXAR,MEDINA,,,,,,,
164901,Menard ISD,CONCHO,KIMBLE,MASON,MCCULLOCH,MENARD,SCHLEICHER,SUTTON,TOM GREEN,,
165901,Midland ISD,ANDREWS,ECTOR,GLASSCOCK,MARTIN,MIDLAND,UPTON,,,,
165902,Greenwood ISD,GLASSCOCK,MARTIN,MIDLAND,,,,,,,
166901,Cameron ISD,BELL,FALLS,MILAM,ROBERTSON,,,,,,
166902,Gause ISD,BURLESON,MILAM,ROBERTSON,,,,,,,
166903,Milano ISD,BURLESON,MILAM,,,,,,,,
166904,Rockdale ISD,BURLESON,LEE,MILAM,,,,,,,
166905,Thorndale ISD,LEE,MILAM,WILLIAMSON,,,,,,,
166907,Buckholts ISD,BELL,MILAM,,,,,,,,
167901,Goldthwaite Cons ISD,HAMILTON,LAMPASAS,MILLS,SAN SABA,,,,,,
167902,Mullin ISD,BROWN,COMANCHE,MILLS,SAN SABA,,,,,,
167904,Priddy ISD,COMANCHE,HAMILTON,MILLS,,,,,,,
168901,Colorado ISD,COKE,MITCHELL,NOLAN,SCURRY,STERLING,,,,,
168902,Loraine ISD,MITCHELL,NOLAN,SCURRY,,,,,,,
168903,Westbrook ISD,HOWARD,MITCHELL,,,,,,,,
169901,Bowie ISD,CLAY,JACK,MONTAGUE,WISE,,,,,,
169902,Nocona ISD,MONTAGUE,,,,,,,,,
169906,Gold-Burg ISD,CLAY,MONTAGUE,,,,,,,,
169908,Montague ISD,MONTAGUE,,,,,,,,,
169909,Prairie Valley ISD,MONTAGUE,,,,,,,,,
169910,Forestburg ISD,COOKE,MONTAGUE,WISE,,,,,,,
169911,Saint Jo ISD,COOKE,MONTAGUE,,,,,,,,
170902,Conroe ISD,HARRIS,MONTGOMERY,SAN JACINTO,,,,,,,
170903,Montgomery ISD,GRIMES,MONTGOMERY,WALKER,,,,,,,
170904,Willis ISD,MONTGOMERY,SAN JACINTO,WALKER,,,,,,,
170906,Magnolia ISD,GRIMES,HARRIS,MONTGOMERY,WALLER,,,,,,
170907,Splendora ISD,LIBERTY,MONTGOMERY,SAN JACINTO,,,,,,,
170908,New Caney ISD,HARRIS,LIBERTY,MONTGOMERY,,,,,,,
171901,Dumas ISD,CARSON,DALLAM,HARTLEY,HUTCHINSON,MOORE,OLDHAM,POTTER,SHERMAN,,
171902,Sunray ISD,HANSFORD,HUTCHINSON,MOORE,SHERMAN,,,,,,
172902,Daingerfield-Lone Star ISD,CAMP,CASS,MARION,MORRIS,TITUS,UPSHUR,,,,
172905,Pewitt Cons ISD,BOWIE,CASS,MORRIS,RED RIVER,TITUS,,,,,
173901,Motley County ISD,BRISCOE,COTTLE,CROSBY,DICKENS,FLOYD,HALL,KING,MOTLEY,,
174901,Chireno ISD,NACOGDOCHES,SAN AUGUSTINE,,,,,,,,
174902,Cushing ISD,CHEROKEE,NACOGDOCHES,RUSK,,,,,,,
174903,Garrison ISD,NACOGDOCHES,RUSK,SHELBY,,,,,,,
174904,Nacogdoches ISD,ANGELINA,CHEROKEE,NACOGDOCHES,,,,,,,
174906,Woden ISD,ANGELINA,NACOGDOCHES,,,,,,,,
174908,Central Heights ISD,NACOGDOCHES,RUSK,,,,,,,,
174909,Martinsville ISD,NACOGDOCHES,SAN AUGUSTINE,SHELBY,,,,,,,
174910,Etoile ISD,ANGELINA,NACOGDOCHES,SAN AUGUSTINE,,,,,,,
174911,Douglass ISD,CHEROKEE,NACOGDOCHES,,,,,,,,
175902,Blooming Grove ISD,ELLIS,NAVARRO,,,,,,,,
175903,Corsicana ISD,FREESTONE,HENDERSON,NAVARRO,,,,,,,
175904,Dawson ISD (Navarro),HILL,LIMESTONE,NAVARRO,,,,,,,
175905,Frost ISD,ELLIS,HILL,NAVARRO,,,,,,,
175907,Kerens ISD,FREESTONE,HENDERSON,NAVARRO,,,,,,,
175910,Mildred ISD,NAVARRO,,,,,,,,,
175911,Rice ISD,ELLIS,NAVARRO,,,,,,,,
176901,Burkeville ISD,JASPER,NEWTON,SABINE,,,,,,,
176902,Newton ISD,JASPER,NEWTON,,,,,,,,
176903,Deweyville ISD,JASPER,NEWTON,ORANGE,,,,,,,
177901,Roscoe Collegiate ISD,FISHER,MITCHELL,NOLAN,SCURRY,,,,,,
